"measure_cd","measure_title","rows"
"IA_GRP_AHE_1","Enhance Engagement of Medicaid and Other Underserved Populations","375"
"IA_GRP_AHE_10","Adopt Certified Health Information Technology for Security Tags for Electronic Health Record Data","79"
"IA_GRP_AHE_11","Create and Implement a Plan to Improve Care for Lesbian, Gay, Bisexual, Transgender, and Queer Patients","69"
"IA_GRP_AHE_12","Practice Improvements that Engage Community Resources to Address Drivers of Health","69"
"IA_GRP_AHE_3","Promote Use of Patient-Reported Outcome Tools","713"
"IA_GRP_AHE_5","MIPS Eligible Clinician Leadership in Clinical Trials or CBPR","40"
"IA_GRP_AHE_6","Provide Education Opportunities for New Clinicians","488"
"IA_GRP_AHE_7","Comprehensive Eye Exams","211"
"IA_GRP_AHE_8","Create and Implement an Anti-Racism Plan","85"
"IA_GRP_AHE_9","Implement Food Insecurity and Nutrition Risk Identification and Treatment Protocols","52"
"IA_GRP_BE_1","Use of certified EHR to capture patient reported outcomes","465"
"IA_GRP_BE_12","Use evidence-based decision aids to support shared decision-making.","262"
"IA_GRP_BE_14","Engage Patients and Families to Guide Improvement in the System of Care","252"
"IA_GRP_BE_15","Engagement of Patients, Family, and Caregivers in Developing a Plan of Care","302"
"IA_GRP_BE_16","Promote Self-management in Usual Care","66"
"IA_GRP_BE_19","Use group visits for common chronic conditions (e.g., diabetes).","27"
"IA_GRP_BE_22","Improved Practices that Engage Patients Pre-Visit","384"
"IA_GRP_BE_23","Integration of patient coaching practices between visits","81"
"IA_GRP_BE_24","Financial Navigation Program","212"
"IA_GRP_BE_25","Drug Cost Transparency","366"
"IA_GRP_BE_3","Engagement with QIN-QIO to implement self-management training programs","37"
"IA_GRP_BE_4","Engagement of patients through implementation of improvements in patient portal","2404"
"IA_GRP_BE_5","Enhancements/regular updates to practice websites/tools that also include considerations for patients with cognitive disabilities","56"
"IA_GRP_BE_6","Regularly Assess Patient Experience of Care and Follow Up on Findings","1605"
"IA_GRP_BMH_1","Diabetes screening","165"
"IA_GRP_BMH_10","Completion of Collaborative Care Management Training Program","17"
"IA_GRP_BMH_11","Implementation of a Trauma-Informed Care (TIC) Approach to Clinical Practice","19"
"IA_GRP_BMH_12","Promoting Clinician Well-Being","218"
"IA_GRP_BMH_2","Tobacco use","1215"
"IA_GRP_BMH_4","Depression screening","847"
"IA_GRP_BMH_5","MDD prevention and treatment interventions","93"
"IA_GRP_BMH_6","Implementation of co-location PCP and MH services","52"
"IA_GRP_BMH_7","Implementation of Integrated Patient Centered Behavioral Health Model","43"
"IA_GRP_BMH_8","Electronic Health Record Enhancements for BH data capture","141"
"IA_GRP_BMH_9","Unhealthy Alcohol Use for Patients with Co-occurring Conditions of Mental Health and Substance Abuse and Ambulatory Care Patients","104"
"IA_GRP_CC_1","Implementation of Use of Specialist Reports Back to Referring Clinician or Group to Close Referral Loop","1145"
"IA_GRP_CC_10","Care transition documentation practice improvements","124"
"IA_GRP_CC_11","Care transition standard operational improvements","132"
"IA_GRP_CC_12","Care coordination agreements that promote improvements in patient tracking across settings","197"
"IA_GRP_CC_13","Practice Improvements to Align with OpenNotes Principles","1420"
